device,gpu-id,batch_size,n_runs,ms_per_event
cuda,0,1,20000,0.54872124
cuda,0,2,20000,0.28997472
cuda,0,4,20000,0.13644934
cuda,0,8,20000,0.06795086
cuda,0,16,20000,0.03331030
cuda,0,32,20000,0.01692007
cuda,0,64,20000,0.00850155
cuda,0,128,20000,0.00452730
cuda,0,256,20000,0.00222880
cuda,0,384,20000,0.00134773
cuda,0,512,20000,0.00105506
cuda,0,768,20000,0.00104062
cuda,0,1024,20000,0.00115423
cuda,0,1536,20000,0.00127318
cuda,0,2048,20000,0.00147487
cpu,0,1,20000,0.83200923
cpu,0,2,20000,0.56675550
cpu,0,4,20000,0.53796717
cpu,0,8,20000,0.40557052
cpu,0,16,20000,0.31227790
cpu,0,32,20000,0.14291332
cpu,0,64,20000,0.08221625
cpu,0,128,20000,0.07763450
cpu,0,256,20000,0.06836504
cpu,0,384,20000,0.05566717
cpu,0,512,20000,0.06092043
cpu,0,768,20000,0.08501216
cpu,0,1024,20000,0.09046278
