device,gpu_id,matmul_precision,on_gpu,batch_size,n_runs,ms_per_event
cuda,0,high,False,1,20000,0.58655132
cuda,0,high,True,1,20000,0.55078975
cuda,0,high,False,2,20000,0.31275161
cuda,0,high,True,2,20000,0.29380669
cuda,0,high,False,4,20000,0.13616123
cuda,0,high,True,4,20000,0.12928857
cuda,0,high,False,8,20000,0.06861414
cuda,0,high,True,8,20000,0.06682798
cuda,0,high,False,16,20000,0.03481012
cuda,0,high,True,16,20000,0.03135267
cuda,0,high,False,32,20000,0.01726593
cuda,0,high,True,32,20000,0.01606899
cuda,0,high,False,64,20000,0.00806608
cuda,0,high,True,64,20000,0.00825664
cuda,0,high,False,128,20000,0.00431324
cuda,0,high,True,128,20000,0.00407945
cuda,0,high,False,256,20000,0.00229706
cuda,0,high,True,256,20000,0.00205687
cuda,0,high,False,384,20000,0.00154889
cuda,0,high,True,384,20000,0.00142217
cuda,0,high,False,512,20000,0.00120574
cuda,0,high,True,512,20000,0.00103469
cuda,0,high,False,768,20000,0.00107182
cuda,0,high,True,768,20000,0.00102923
cuda,0,high,False,1024,20000,0.00115194
cuda,0,high,True,1024,20000,0.00118620
cuda,0,high,False,1536,20000,0.00126861
cuda,0,high,True,1536,20000,0.00130416
cuda,0,high,False,2048,20000,0.00146316
cuda,0,high,True,2048,20000,0.00150271
cpu,0,high,False,1,20000,0.98427717
cpu,0,high,False,2,20000,0.66274858
cpu,0,high,False,4,20000,0.57402141
cpu,0,high,False,8,20000,0.46969515
cpu,0,high,False,16,20000,0.31924026
cpu,0,high,False,32,20000,0.14324983
cpu,0,high,False,64,20000,0.08227865
cpu,0,high,False,128,20000,0.07187171
cpu,0,high,False,256,20000,0.06186261
cpu,0,high,False,384,20000,0.05961290
cpu,0,high,False,512,20000,0.06122312
cpu,0,high,False,768,20000,0.06620834
cpu,0,high,False,1024,20000,0.10285341
cuda,0,highest,False,1,20000,0.55241558
cuda,0,highest,True,1,20000,0.52854854
cuda,0,highest,False,2,20000,0.29670212
cuda,0,highest,True,2,20000,0.27108257
cuda,0,highest,False,4,20000,0.13533643
cuda,0,highest,True,4,20000,0.12250427
cuda,0,highest,False,8,20000,0.07008726
cuda,0,highest,True,8,20000,0.06213459
cuda,0,highest,False,16,20000,0.03280937
cuda,0,highest,True,16,20000,0.03158973
cuda,0,highest,False,32,20000,0.01702996
cuda,0,highest,True,32,20000,0.01551522
cuda,0,highest,False,64,20000,0.00860354
cuda,0,highest,True,64,20000,0.00781256
cuda,0,highest,False,128,20000,0.00394705
cuda,0,highest,True,128,20000,0.00373651
cuda,0,highest,False,256,20000,0.00215090
cuda,0,highest,True,256,20000,0.00187437
cuda,0,highest,False,384,20000,0.00185145
cuda,0,highest,True,384,20000,0.00169228
cuda,0,highest,False,512,20000,0.00183489
cuda,0,highest,True,512,20000,0.00186615
cuda,0,highest,False,768,20000,0.00197869
cuda,0,highest,True,768,20000,0.00199389
cuda,0,highest,False,1024,20000,0.00215602
cuda,0,highest,True,1024,20000,0.00216790
cuda,0,highest,False,1536,20000,0.00220397
cuda,0,highest,True,1536,20000,0.00223947
cuda,0,highest,False,2048,20000,0.00234109
cuda,0,highest,True,2048,20000,0.00237087
cpu,0,highest,False,1,20000,1.01218293
cpu,0,highest,False,2,20000,0.91196592
cpu,0,highest,False,4,20000,0.49891313
cpu,0,highest,False,8,20000,0.53460044
cpu,0,highest,False,16,20000,0.32970211
cpu,0,highest,False,32,20000,0.17417244
cpu,0,highest,False,64,20000,0.08833889
cpu,0,highest,False,128,20000,0.07464158
cpu,0,highest,False,256,20000,0.06228101
cpu,0,highest,False,384,20000,0.06908582
cpu,0,highest,False,512,20000,0.06739908
cpu,0,highest,False,768,20000,0.09166876
cpu,0,highest,False,1024,20000,0.07546933
cuda,0,medium,False,1,20000,0.58377651
cuda,0,medium,True,1,20000,0.53654800
cuda,0,medium,False,2,20000,0.31283523
cuda,0,medium,True,2,20000,0.28523115
cuda,0,medium,False,4,20000,0.14660062
cuda,0,medium,True,4,20000,0.12710895
cuda,0,medium,False,8,20000,0.06819551
cuda,0,medium,True,8,20000,0.06435171
cuda,0,medium,False,16,20000,0.03434765
cuda,0,medium,True,16,20000,0.03394326
cuda,0,medium,False,32,20000,0.01676386
cuda,0,medium,True,32,20000,0.01688652
cuda,0,medium,False,64,20000,0.00846976
cuda,0,medium,True,64,20000,0.00827133
cuda,0,medium,False,128,20000,0.00483320
cuda,0,medium,True,128,20000,0.00439359
cuda,0,medium,False,256,20000,0.00235202
cuda,0,medium,True,256,20000,0.00212600
cuda,0,medium,False,384,20000,0.00164045
cuda,0,medium,True,384,20000,0.00137405
cuda,0,medium,False,512,20000,0.00133332
cuda,0,medium,True,512,20000,0.00102156
cuda,0,medium,False,768,20000,0.00107004
cuda,0,medium,True,768,20000,0.00102921
cuda,0,medium,False,1024,20000,0.00115494
cuda,0,medium,True,1024,20000,0.00120930
cuda,0,medium,False,1536,20000,0.00127448
cuda,0,medium,True,1536,20000,0.00130835
cuda,0,medium,False,2048,20000,0.00146542
cuda,0,medium,True,2048,20000,0.00150774
cpu,0,medium,False,1,20000,1.27357288
cpu,0,medium,False,2,20000,0.71358710
cpu,0,medium,False,4,20000,0.42247935
cpu,0,medium,False,8,20000,0.39380367
cpu,0,medium,False,16,20000,0.29696674
cpu,0,medium,False,32,20000,0.14555096
cpu,0,medium,False,64,20000,0.08730346
cpu,0,medium,False,128,20000,0.07796962
cpu,0,medium,False,256,20000,0.05887362
cpu,0,medium,False,384,20000,0.07172690
cpu,0,medium,False,512,20000,0.07011628
cpu,0,medium,False,768,20000,0.08502184
cpu,0,medium,False,1024,20000,0.09776692
