loss,res_pc,diff_pc,diff_ps,res_cc,res_sc,epsilon,lr,epoch
11.372630,1.296405,11.372630,11.369366,0.000018,0.046708,0.004049,0.000100,1
0.041257,0.050743,0.041257,0.037248,0.000018,0.046695,0.004049,0.000100,2
0.004087,0.047062,0.004087,0.000046,0.000018,0.046728,0.004049,0.000100,3
0.004088,0.047084,0.004088,0.000045,0.000018,0.046716,0.004049,0.000100,4
0.004078,0.046863,0.004078,0.000053,0.000018,0.046709,0.004049,0.000100,5
0.003753,0.040415,0.003753,0.000327,0.000018,0.046717,0.004049,0.000100,6
0.002993,0.026591,0.002993,0.001076,0.000018,0.046706,0.004049,0.000100,7
0.002612,0.020597,0.002612,0.001505,0.000019,0.046717,0.004049,0.000100,8
0.002524,0.018887,0.002524,0.001623,0.000018,0.046719,0.004049,0.000100,9
0.002476,0.017954,0.002476,0.001688,0.000018,0.046721,0.004050,0.000100,10
0.002419,0.017027,0.002419,0.001748,0.000018,0.046724,0.004049,0.000100,11
0.002363,0.016195,0.002363,0.001813,0.000018,0.046694,0.004049,0.000100,12
0.002306,0.015575,0.002306,0.001880,0.000018,0.046720,0.004049,0.000100,13
0.002240,0.015046,0.002240,0.001941,0.000018,0.046687,0.004049,0.000100,14
0.002182,0.014639,0.002182,0.001989,0.000018,0.046708,0.004049,0.000100,15
0.002129,0.014408,0.002129,0.002037,0.000018,0.046714,0.004049,0.000100,16
0.002077,0.014281,0.002077,0.002093,0.000019,0.046712,0.004049,0.000100,17
0.002034,0.014094,0.002034,0.002148,0.000018,0.046711,0.004049,0.000100,18
0.001994,0.013945,0.001994,0.002186,0.000018,0.046717,0.004049,0.000100,19
0.001957,0.013781,0.001957,0.002216,0.000018,0.046686,0.004049,0.000100,20
0.001926,0.013685,0.001926,0.002252,0.000018,0.046703,0.004049,0.000100,21
0.001892,0.013624,0.001892,0.002278,0.000018,0.046697,0.004049,0.000100,22
0.001864,0.013476,0.001864,0.002306,0.000019,0.046696,0.004049,0.000100,23
0.001833,0.013341,0.001833,0.002333,0.000018,0.046717,0.004049,0.000100,24
0.001802,0.013254,0.001802,0.002362,0.000018,0.046708,0.004049,0.000100,25
0.001780,0.013157,0.001780,0.002387,0.000018,0.046717,0.004049,0.000100,26
0.001758,0.013063,0.001758,0.002407,0.000018,0.046691,0.004049,0.000100,27
0.001735,0.012995,0.001735,0.002432,0.000018,0.046693,0.004049,0.000100,28
0.001711,0.012835,0.001711,0.002450,0.000018,0.046710,0.004049,0.000100,29
0.001698,0.012850,0.001698,0.002464,0.000018,0.046734,0.004049,0.000100,30
0.001680,0.012722,0.001680,0.002480,0.000018,0.046700,0.004049,0.000100,31
0.001660,0.012639,0.001660,0.002497,0.000018,0.046692,0.004049,0.000100,32
0.001651,0.012619,0.001651,0.002514,0.000018,0.046689,0.004049,0.000100,33
0.001627,0.012549,0.001627,0.002523,0.000018,0.046711,0.004049,0.000100,34
0.001615,0.012497,0.001615,0.002541,0.000018,0.046705,0.004049,0.000100,35
0.001604,0.012460,0.001604,0.002555,0.000018,0.046687,0.004049,0.000100,36
0.001590,0.012335,0.001590,0.002565,0.000018,0.046684,0.004049,0.000100,37
0.001575,0.012282,0.001575,0.002574,0.000018,0.046718,0.004049,0.000100,38
0.001569,0.012253,0.001569,0.002588,0.000018,0.046700,0.004049,0.000100,39
0.001545,0.012116,0.001545,0.002606,0.000018,0.046698,0.004049,0.000100,41
0.001535,0.012063,0.001535,0.002614,0.000018,0.046721,0.004049,0.000100,42
0.001527,0.012023,0.001527,0.002621,0.000018,0.046698,0.004049,0.000100,43
0.001517,0.011984,0.001517,0.002631,0.000018,0.046711,0.004049,0.000100,44
0.001507,0.011913,0.001507,0.002637,0.000018,0.046697,0.004049,0.000100,45
0.001502,0.011815,0.001502,0.002646,0.000018,0.046700,0.004049,0.000100,46
0.001495,0.011833,0.001495,0.002654,0.000018,0.046718,0.004049,0.000100,47
0.001486,0.011768,0.001486,0.002658,0.000018,0.046686,0.004049,0.000100,48
0.001478,0.011654,0.001478,0.002665,0.000018,0.046710,0.004049,0.000100,49
0.001471,0.011662,0.001471,0.002671,0.000018,0.046709,0.004049,0.000100,50
0.001459,0.011533,0.001459,0.002680,0.000018,0.046724,0.004049,0.000095,51
0.001458,0.011620,0.001458,0.002685,0.000018,0.046702,0.004049,0.000095,52
0.001446,0.011484,0.001446,0.002689,0.000018,0.046696,0.004049,0.000095,53
0.001441,0.011443,0.001441,0.002693,0.000018,0.046689,0.004049,0.000095,54
0.001438,0.011420,0.001438,0.002701,0.000018,0.046704,0.004049,0.000095,55
0.001427,0.011358,0.001427,0.002703,0.000018,0.046707,0.004049,0.000095,56
0.001424,0.011272,0.001424,0.002708,0.000018,0.046680,0.004049,0.000095,57
0.001423,0.011351,0.001423,0.002712,0.000018,0.046714,0.004049,0.000095,58
0.001416,0.011300,0.001416,0.002719,0.000018,0.046725,0.004049,0.000095,59
0.001408,0.011212,0.001408,0.002723,0.000018,0.046682,0.004049,0.000095,60
0.001404,0.011172,0.001404,0.002727,0.000018,0.046719,0.004050,0.000095,61
0.001399,0.011201,0.001399,0.002731,0.000018,0.046713,0.004049,0.000095,62
0.001396,0.011164,0.001396,0.002737,0.000018,0.046689,0.004049,0.000095,63
0.001389,0.011102,0.001389,0.002741,0.000018,0.046683,0.004049,0.000095,64
0.001387,0.011078,0.001387,0.002743,0.000018,0.046686,0.004049,0.000095,65
0.001380,0.011058,0.001380,0.002749,0.000018,0.046712,0.004049,0.000095,66
0.001374,0.011055,0.001374,0.002751,0.000018,0.046717,0.004049,0.000095,67
0.001372,0.011000,0.001372,0.002756,0.000018,0.046706,0.004049,0.000095,68
0.001368,0.011007,0.001368,0.002760,0.000018,0.046704,0.004049,0.000095,69
0.001359,0.010885,0.001359,0.002764,0.000018,0.046669,0.004049,0.000095,70
0.001357,0.010887,0.001357,0.002771,0.000019,0.046683,0.004049,0.000090,71
0.001352,0.010882,0.001352,0.002770,0.000018,0.046703,0.004049,0.000090,72
0.001346,0.010816,0.001346,0.002772,0.000018,0.046720,0.004049,0.000090,73
0.001344,0.010838,0.001344,0.002779,0.000018,0.046695,0.004049,0.000090,74
0.001340,0.010817,0.001340,0.002780,0.000018,0.046680,0.004049,0.000090,75
0.001338,0.010754,0.001338,0.002785,0.000018,0.046702,0.004049,0.000090,76
0.001331,0.010754,0.001331,0.002789,0.000018,0.046702,0.004049,0.000090,77
0.001327,0.010684,0.001327,0.002791,0.000018,0.046695,0.004049,0.000090,78
0.001324,0.010678,0.001324,0.002795,0.000018,0.046700,0.004049,0.000090,79
0.001319,0.010682,0.001319,0.002795,0.000018,0.046688,0.004049,0.000090,80
0.001318,0.010652,0.001318,0.002803,0.000018,0.046707,0.004049,0.000090,81
0.001315,0.010638,0.001315,0.002801,0.000018,0.046684,0.004050,0.000090,82
0.001311,0.010567,0.001311,0.002807,0.000018,0.046716,0.004049,0.000090,83
0.001307,0.010579,0.001307,0.002809,0.000018,0.046709,0.004049,0.000090,84
0.001305,0.010574,0.001305,0.002813,0.000018,0.046725,0.004049,0.000090,85
0.001301,0.010605,0.001301,0.002817,0.000018,0.046722,0.004049,0.000090,86
0.001298,0.010543,0.001298,0.002820,0.000018,0.046686,0.004049,0.000090,87
0.001296,0.010534,0.001296,0.002820,0.000018,0.046701,0.004049,0.000090,88
0.001290,0.010469,0.001290,0.002825,0.000018,0.046703,0.004049,0.000090,89
0.001288,0.010475,0.001288,0.002826,0.000018,0.046693,0.004049,0.000090,90
0.001286,0.010445,0.001286,0.002828,0.000018,0.046686,0.004049,0.000086,91
0.001280,0.010433,0.001280,0.002832,0.000018,0.046706,0.004049,0.000086,92
0.001277,0.010418,0.001277,0.002832,0.000018,0.046712,0.004049,0.000086,93
0.001275,0.010427,0.001275,0.002835,0.000018,0.046709,0.004049,0.000086,94
0.001273,0.010394,0.001273,0.002836,0.000018,0.046715,0.004049,0.000086,95
0.001272,0.010388,0.001272,0.002839,0.000018,0.046691,0.004049,0.000086,96
0.001270,0.010372,0.001270,0.002845,0.000018,0.046673,0.004049,0.000086,97
0.001266,0.010347,0.001266,0.002846,0.000018,0.046685,0.004049,0.000086,98
0.001263,0.010324,0.001263,0.002847,0.000018,0.046696,0.004049,0.000086,99
0.001258,0.010301,0.001258,0.002849,0.000018,0.046712,0.004049,0.000086,100
0.001259,0.010290,0.001259,0.002853,0.000018,0.046693,0.004049,0.000086,101
0.001256,0.010293,0.001256,0.002851,0.000018,0.046710,0.004049,0.000086,102
0.001254,0.010291,0.001254,0.002855,0.000018,0.046693,0.004049,0.000086,103
0.001250,0.010259,0.001250,0.002859,0.000018,0.046711,0.004049,0.000086,104
0.001250,0.010228,0.001250,0.002858,0.000018,0.046701,0.004049,0.000086,105
0.001250,0.010247,0.001250,0.002862,0.000018,0.046709,0.004049,0.000086,106
0.001245,0.010230,0.001245,0.002863,0.000018,0.046701,0.004049,0.000086,107
0.001245,0.010232,0.001245,0.002866,0.000019,0.046709,0.004049,0.000086,108
0.001242,0.010192,0.001242,0.002865,0.000018,0.046686,0.004049,0.000086,109
0.001243,0.010252,0.001243,0.002870,0.000018,0.046691,0.004049,0.000086,110
0.001235,0.010143,0.001235,0.002870,0.000018,0.046715,0.004049,0.000081,111
0.001235,0.010112,0.001235,0.002873,0.000018,0.046707,0.004049,0.000081,112
0.001230,0.010135,0.001230,0.002874,0.000018,0.046716,0.004049,0.000081,113
0.001228,0.010121,0.001228,0.002873,0.000018,0.046723,0.004049,0.000081,114
0.001228,0.010108,0.001228,0.002877,0.000018,0.046682,0.004049,0.000081,115
0.001228,0.010126,0.001228,0.002878,0.000019,0.046684,0.004049,0.000081,116
0.001223,0.010073,0.001223,0.002878,0.000018,0.046695,0.004049,0.000081,117
0.001224,0.010110,0.001224,0.002880,0.000018,0.046701,0.004049,0.000081,118
0.001220,0.010062,0.001220,0.002882,0.000018,0.046701,0.004049,0.000081,119
0.001221,0.010048,0.001221,0.002885,0.000018,0.046705,0.004049,0.000081,120
0.001219,0.010105,0.001219,0.002886,0.000018,0.046711,0.004049,0.000081,121
0.001217,0.010062,0.001217,0.002885,0.000018,0.046695,0.004049,0.000081,122
0.001216,0.010052,0.001216,0.002887,0.000018,0.046717,0.004049,0.000081,123
0.001215,0.010022,0.001215,0.002889,0.000018,0.046704,0.004049,0.000081,124
0.001216,0.010039,0.001216,0.002889,0.000018,0.046675,0.004049,0.000081,125
0.001212,0.009989,0.001212,0.002892,0.000018,0.046695,0.004049,0.000081,126
0.001209,0.009963,0.001209,0.002894,0.000018,0.046690,0.004049,0.000081,127
0.001209,0.010013,0.001209,0.002891,0.000019,0.046733,0.004049,0.000081,128
0.001209,0.010021,0.001209,0.002895,0.000018,0.046693,0.004049,0.000081,129
0.001205,0.009968,0.001205,0.002897,0.000019,0.046702,0.004049,0.000081,130
0.001202,0.009972,0.001202,0.002896,0.000019,0.046686,0.004049,0.000077,131
0.001200,0.009950,0.001200,0.002898,0.000018,0.046690,0.004049,0.000077,132
0.001197,0.009931,0.001197,0.002900,0.000018,0.046716,0.004049,0.000077,133
0.001195,0.009926,0.001195,0.002901,0.000018,0.046711,0.004049,0.000077,134
0.001195,0.009902,0.001195,0.002902,0.000018,0.046707,0.004050,0.000077,135
0.001194,0.009892,0.001194,0.002904,0.000019,0.046697,0.004049,0.000077,136
0.001194,0.009914,0.001194,0.002905,0.000018,0.046730,0.004049,0.000077,137
0.001192,0.009927,0.001192,0.002908,0.000018,0.046703,0.004049,0.000077,138
0.001189,0.009859,0.001189,0.002908,0.000018,0.046679,0.004049,0.000077,139
0.001188,0.009898,0.001188,0.002911,0.000019,0.046728,0.004049,0.000077,140
0.001188,0.009873,0.001188,0.002909,0.000019,0.046710,0.004049,0.000077,141
0.001188,0.009906,0.001188,0.002910,0.000019,0.046714,0.004049,0.000077,142
0.001185,0.009884,0.001185,0.002914,0.000018,0.046730,0.004049,0.000077,143
0.001186,0.009845,0.001186,0.002914,0.000018,0.046712,0.004049,0.000077,144
0.001184,0.009834,0.001184,0.002914,0.000018,0.046718,0.004049,0.000077,145
0.001181,0.009874,0.001181,0.002915,0.000018,0.046702,0.004049,0.000077,146
0.001184,0.009872,0.001184,0.002918,0.000018,0.046689,0.004049,0.000077,147
0.001182,0.009811,0.001182,0.002915,0.000018,0.046696,0.004049,0.000077,148
0.001178,0.009755,0.001178,0.002919,0.000018,0.046696,0.004049,0.000077,149
0.001179,0.009785,0.001179,0.002919,0.000018,0.046701,0.004049,0.000077,150
0.001177,0.009840,0.001177,0.002917,0.000018,0.046701,0.004049,0.000074,151
0.001173,0.009774,0.001173,0.002922,0.000018,0.046717,0.004049,0.000074,152
0.001172,0.009778,0.001172,0.002921,0.000018,0.046722,0.004049,0.000074,153
0.001172,0.009763,0.001172,0.002925,0.000018,0.046720,0.004049,0.000074,154
0.001171,0.009785,0.001171,0.002924,0.000018,0.046719,0.004049,0.000074,155
0.001170,0.009766,0.001170,0.002925,0.000018,0.046722,0.004049,0.000074,156
0.001169,0.009765,0.001169,0.002925,0.000019,0.046705,0.004049,0.000074,157
0.001168,0.009762,0.001168,0.002929,0.000018,0.046711,0.004050,0.000074,158
0.001170,0.009765,0.001170,0.002927,0.000018,0.046711,0.004049,0.000074,159
0.001166,0.009712,0.001166,0.002928,0.000018,0.046694,0.004049,0.000074,160
0.001164,0.009743,0.001164,0.002929,0.000018,0.046719,0.004049,0.000074,161
0.001166,0.009739,0.001166,0.002931,0.000018,0.046706,0.004049,0.000074,162
0.001161,0.009695,0.001161,0.002929,0.000018,0.046700,0.004049,0.000074,163
0.001167,0.009738,0.001167,0.002931,0.000018,0.046673,0.004049,0.000074,164
0.001162,0.009670,0.001162,0.002930,0.000018,0.046704,0.004049,0.000074,165
0.001159,0.009673,0.001159,0.002933,0.000018,0.046741,0.004049,0.000074,166
0.001159,0.009686,0.001159,0.002935,0.000018,0.046736,0.004049,0.000074,167
0.001161,0.009727,0.001161,0.002936,0.000018,0.046713,0.004049,0.000074,168
0.001158,0.009687,0.001158,0.002933,0.000018,0.046699,0.004049,0.000074,169
0.001154,0.009656,0.001154,0.002938,0.000018,0.046710,0.004049,0.000074,170
0.001152,0.009661,0.001152,0.002938,0.000018,0.046694,0.004049,0.000070,171
0.001150,0.009624,0.001150,0.002940,0.000018,0.046695,0.004049,0.000070,172
0.001152,0.009651,0.001152,0.002939,0.000018,0.046704,0.004049,0.000070,173
0.001150,0.009631,0.001150,0.002942,0.000018,0.046701,0.004049,0.000070,174
0.001148,0.009630,0.001148,0.002942,0.000018,0.046693,0.004049,0.000070,175
0.001149,0.009606,0.001149,0.002941,0.000019,0.046696,0.004049,0.000070,176
0.001148,0.009607,0.001148,0.002943,0.000018,0.046690,0.004049,0.000070,177
0.001146,0.009642,0.001146,0.002943,0.000018,0.046708,0.004049,0.000070,178
0.001148,0.009583,0.001148,0.002941,0.000018,0.046710,0.004049,0.000070,179
0.001146,0.009599,0.001146,0.002944,0.000018,0.046695,0.004049,0.000070,180
0.001141,0.009567,0.001141,0.002947,0.000018,0.046689,0.004049,0.000070,181
0.001143,0.009595,0.001143,0.002947,0.000018,0.046724,0.004049,0.000070,182
0.001141,0.009577,0.001141,0.002949,0.000018,0.046716,0.004049,0.000070,183
0.001141,0.009539,0.001141,0.002949,0.000018,0.046689,0.004049,0.000070,184
0.001141,0.009562,0.001141,0.002950,0.000018,0.046754,0.004049,0.000070,185
0.001140,0.009571,0.001140,0.002949,0.000018,0.046706,0.004049,0.000070,186
0.001140,0.009553,0.001140,0.002949,0.000018,0.046721,0.004049,0.000070,187
0.001141,0.009575,0.001141,0.002951,0.000018,0.046703,0.004049,0.000070,188
0.001142,0.009613,0.001142,0.002950,0.000018,0.046721,0.004050,0.000070,189
0.001137,0.009535,0.001137,0.002956,0.000018,0.046707,0.004049,0.000070,190
0.001134,0.009523,0.001134,0.002951,0.000019,0.046709,0.004049,0.000066,191
0.001133,0.009482,0.001133,0.002953,0.000018,0.046710,0.004049,0.000066,192
0.001133,0.009500,0.001133,0.002954,0.000018,0.046699,0.004049,0.000066,193
0.001134,0.009534,0.001134,0.002955,0.000018,0.046707,0.004049,0.000066,194
0.001130,0.009514,0.001130,0.002956,0.000018,0.046688,0.004049,0.000066,195
0.001131,0.009527,0.001131,0.002959,0.000018,0.046711,0.004049,0.000066,196
0.001128,0.009437,0.001128,0.002958,0.000018,0.046718,0.004049,0.000066,197
0.001129,0.009489,0.001129,0.002958,0.000018,0.046697,0.004049,0.000066,198
0.001130,0.009546,0.001130,0.002958,0.000018,0.046712,0.004049,0.000066,199
