loss,center_loss,frame_loss,lr,epoch
0.003408,0.000026,0.003382,0.000100,1
0.003225,0.000001,0.003225,0.000100,2
0.002616,0.000002,0.002614,0.000100,3
0.002573,0.000001,0.002573,0.000100,4
0.002569,0.000001,0.002569,0.000100,5
0.002567,0.000000,0.002567,0.000100,6
0.002564,0.000000,0.002564,0.000100,7
0.002559,0.000000,0.002559,0.000100,8
0.002557,0.000000,0.002557,0.000100,9
0.002556,0.000000,0.002556,0.000100,10
0.002553,0.000000,0.002553,0.000100,11
0.002551,0.000000,0.002551,0.000100,12
0.002548,0.000000,0.002548,0.000100,13
0.002548,0.000000,0.002548,0.000100,14
0.002546,0.000000,0.002546,0.000100,15
0.002543,0.000000,0.002543,0.000100,16
0.002544,0.000000,0.002544,0.000100,17
0.002541,0.000000,0.002541,0.000100,18
0.002540,0.000000,0.002540,0.000100,19
0.002540,0.000000,0.002540,0.000100,20
0.002539,0.000000,0.002539,0.000100,21
0.002539,0.000000,0.002539,0.000100,22
0.002538,0.000000,0.002538,0.000100,23
0.002538,0.000000,0.002538,0.000100,24
0.002537,0.000000,0.002537,0.000100,25
0.002535,0.000000,0.002535,0.000100,26
0.002536,0.000000,0.002536,0.000100,27
0.002534,0.000000,0.002534,0.000100,28
0.002533,0.000000,0.002533,0.000100,29
0.002532,0.000000,0.002532,0.000100,30
0.002530,0.000000,0.002530,0.000100,31
0.002528,0.000000,0.002528,0.000100,32
0.002521,0.000000,0.002521,0.000100,33
0.002472,0.000000,0.002472,0.000100,34
0.002401,0.000000,0.002401,0.000100,35
0.002348,0.000000,0.002348,0.000100,36
0.002324,0.000000,0.002324,0.000100,37
0.002308,0.000000,0.002307,0.000100,38
0.002296,0.000000,0.002296,0.000100,39
0.002285,0.000000,0.002285,0.000100,40
0.002283,0.000000,0.002283,0.000100,41
0.002273,0.000000,0.002273,0.000100,42
0.002265,0.000000,0.002265,0.000100,43
0.002256,0.000000,0.002256,0.000100,44
0.002244,0.000000,0.002244,0.000100,45
0.002227,0.000000,0.002227,0.000100,46
0.002212,0.000000,0.002212,0.000100,47
0.002197,0.000000,0.002197,0.000100,48
0.002175,0.000000,0.002175,0.000100,49
0.002141,0.000000,0.002141,0.000100,50
0.002116,0.000000,0.002116,0.000095,51
0.002092,0.000000,0.002092,0.000095,52
0.002069,0.000000,0.002069,0.000095,53
0.002041,0.000000,0.002041,0.000095,54
0.002012,0.000000,0.002012,0.000095,55
0.001982,0.000000,0.001982,0.000095,56
0.001958,0.000000,0.001958,0.000095,57
0.001942,0.000000,0.001942,0.000095,58
0.001927,0.000000,0.001927,0.000095,59
0.001913,0.000000,0.001913,0.000095,60
0.001906,0.000000,0.001906,0.000095,61
0.001892,0.000000,0.001892,0.000095,62
0.001886,0.000000,0.001886,0.000095,63
0.001874,0.000000,0.001874,0.000095,64
0.001862,0.000000,0.001862,0.000095,65
0.001854,0.000000,0.001854,0.000095,66
0.001846,0.000000,0.001846,0.000095,67
0.001833,0.000000,0.001833,0.000095,68
0.001821,0.000000,0.001821,0.000095,69
0.001818,0.000000,0.001818,0.000095,70
0.001804,0.000000,0.001804,0.000090,71
0.001798,0.000000,0.001798,0.000090,72
0.001791,0.000000,0.001791,0.000090,73
0.001784,0.000000,0.001784,0.000090,74
0.001775,0.000000,0.001775,0.000090,75
0.001767,0.000000,0.001767,0.000090,76
0.001765,0.000000,0.001765,0.000090,77
0.001757,0.000000,0.001757,0.000090,78
0.001747,0.000000,0.001747,0.000090,79
0.001743,0.000000,0.001743,0.000090,80
0.001737,0.000000,0.001737,0.000090,81
0.001733,0.000000,0.001733,0.000090,82
0.001728,0.000000,0.001728,0.000090,83
0.001720,0.000000,0.001720,0.000090,84
0.001721,0.000000,0.001721,0.000090,85
0.001712,0.000000,0.001712,0.000090,86
0.001708,0.000000,0.001708,0.000090,87
0.001706,0.000000,0.001706,0.000090,88
0.001702,0.000000,0.001702,0.000090,89
0.001698,0.000000,0.001698,0.000090,90
0.001694,0.000000,0.001694,0.000086,91
0.001688,0.000000,0.001688,0.000086,92
0.001688,0.000000,0.001688,0.000086,93
0.001683,0.000000,0.001683,0.000086,94
0.001680,0.000000,0.001680,0.000086,95
0.001673,0.000000,0.001673,0.000086,96
0.001673,0.000000,0.001673,0.000086,97
0.001669,0.000000,0.001669,0.000086,98
0.001665,0.000000,0.001665,0.000086,99
0.001662,0.000000,0.001662,0.000086,100
0.001660,0.000000,0.001660,0.000086,101
0.001657,0.000000,0.001657,0.000086,102
0.001655,0.000000,0.001655,0.000086,103
0.001647,0.000000,0.001647,0.000086,104
0.001644,0.000000,0.001644,0.000086,105
0.001645,0.000000,0.001645,0.000086,106
0.001641,0.000000,0.001641,0.000086,107
0.001636,0.000000,0.001636,0.000086,108
0.001631,0.000000,0.001631,0.000086,109
0.001623,0.000000,0.001623,0.000086,110
0.001619,0.000000,0.001619,0.000081,111
0.001610,0.000000,0.001610,0.000081,112
0.001605,0.000000,0.001605,0.000081,113
0.001598,0.000000,0.001598,0.000081,114
0.001597,0.000000,0.001597,0.000081,115
0.001590,0.000000,0.001590,0.000081,116
0.001585,0.000000,0.001585,0.000081,117
0.001577,0.000000,0.001577,0.000081,118
0.001573,0.000000,0.001573,0.000081,119
0.001570,0.000000,0.001570,0.000081,120
0.001564,0.000000,0.001564,0.000081,121
0.001559,0.000000,0.001559,0.000081,122
0.001551,0.000000,0.001551,0.000081,123
0.001549,0.000000,0.001549,0.000081,124
0.001544,0.000000,0.001544,0.000081,125
0.001540,0.000000,0.001540,0.000081,126
0.001537,0.000000,0.001537,0.000081,127
0.001534,0.000000,0.001534,0.000081,128
0.001527,0.000000,0.001527,0.000081,129
0.001522,0.000000,0.001522,0.000081,130
0.001517,0.000000,0.001517,0.000077,131
0.001512,0.000000,0.001512,0.000077,132
0.001507,0.000000,0.001507,0.000077,133
0.001506,0.000000,0.001506,0.000077,134
0.001498,0.000000,0.001498,0.000077,135
0.001495,0.000000,0.001495,0.000077,136
0.001489,0.000000,0.001489,0.000077,137
0.001488,0.000000,0.001488,0.000077,138
0.001485,0.000000,0.001485,0.000077,139
0.001481,0.000000,0.001481,0.000077,140
0.001478,0.000000,0.001478,0.000077,141
0.001478,0.000000,0.001478,0.000077,142
0.001477,0.000000,0.001477,0.000077,143
0.001468,0.000000,0.001468,0.000077,144
0.001470,0.000000,0.001470,0.000077,145
0.001466,0.000000,0.001466,0.000077,146
0.001465,0.000000,0.001465,0.000077,147
0.001463,0.000000,0.001463,0.000077,148
0.001460,0.000000,0.001460,0.000077,149
0.001459,0.000000,0.001459,0.000077,150
0.001450,0.000000,0.001450,0.000074,151
0.001448,0.000000,0.001448,0.000074,152
0.001452,0.000000,0.001452,0.000074,153
0.001446,0.000000,0.001446,0.000074,154
0.001446,0.000000,0.001446,0.000074,155
0.001446,0.000000,0.001446,0.000074,156
0.001443,0.000000,0.001443,0.000074,157
0.001436,0.000000,0.001436,0.000074,158
0.001439,0.000000,0.001439,0.000074,159
0.001444,0.000000,0.001444,0.000074,160
0.001438,0.000000,0.001438,0.000074,161
0.001431,0.000000,0.001431,0.000074,162
0.001433,0.000000,0.001433,0.000074,163
0.001428,0.000000,0.001428,0.000074,164
0.001427,0.000000,0.001427,0.000074,165
0.001427,0.000000,0.001427,0.000074,166
0.001425,0.000000,0.001425,0.000074,167
0.001428,0.000000,0.001428,0.000074,168
0.001426,0.000000,0.001426,0.000074,169
0.001422,0.000000,0.001422,0.000074,170
0.001416,0.000000,0.001416,0.000070,171
0.001416,0.000000,0.001416,0.000070,172
0.001417,0.000000,0.001417,0.000070,173
0.001416,0.000000,0.001416,0.000070,174
0.001415,0.000000,0.001415,0.000070,175
0.001416,0.000000,0.001416,0.000070,176
0.001409,0.000000,0.001409,0.000070,177
0.001411,0.000000,0.001411,0.000070,178
0.001410,0.000000,0.001410,0.000070,179
0.001405,0.000000,0.001405,0.000070,180
0.001404,0.000000,0.001404,0.000070,181
0.001403,0.000000,0.001403,0.000070,182
0.001407,0.000000,0.001407,0.000070,183
0.001401,0.000000,0.001401,0.000070,184
0.001404,0.000000,0.001404,0.000070,185
0.001402,0.000000,0.001402,0.000070,186
0.001401,0.000000,0.001401,0.000070,187
0.001402,0.000000,0.001402,0.000070,188
0.001401,0.000000,0.001401,0.000070,189
0.001398,0.000000,0.001398,0.000070,190
0.001395,0.000000,0.001395,0.000066,191
0.001392,0.000000,0.001392,0.000066,192
0.001392,0.000000,0.001392,0.000066,193
0.001389,0.000000,0.001389,0.000066,194
0.001389,0.000000,0.001389,0.000066,195
0.001388,0.000000,0.001388,0.000066,196
0.001389,0.000000,0.001389,0.000066,197
0.001385,0.000000,0.001385,0.000066,198
0.001385,0.000000,0.001385,0.000066,199
0.001386,0.000000,0.001386,0.000066,200
