loss,res_pc,diff_pc,diff_ps,res_cc,res_sc,epsilon,lr,epoch
0.003727,0.036179,0.003727,0.000430,0.000000,0.046686,0.004049,0.000100,1
0.003021,0.021100,0.003021,0.001033,0.000000,0.046683,0.004049,0.000100,2
0.002980,0.020429,0.002980,0.001077,0.000000,0.046721,0.004049,0.000100,3
0.002960,0.020202,0.002960,0.001096,0.000000,0.046710,0.004049,0.000100,4
0.002774,0.018645,0.002774,0.001270,0.000000,0.046695,0.004049,0.000100,5
0.002463,0.015694,0.002463,0.001590,0.000000,0.046686,0.004049,0.000100,6
0.002420,0.015257,0.002420,0.001633,0.000000,0.046684,0.004049,0.000100,7
0.002278,0.014051,0.002278,0.001770,0.000000,0.046706,0.004049,0.000100,8
0.002150,0.012834,0.002150,0.001904,0.000000,0.046686,0.004049,0.000100,9
0.002126,0.012547,0.002126,0.001928,0.000000,0.046714,0.004049,0.000100,10
0.002115,0.012421,0.002115,0.001938,0.000000,0.046688,0.004049,0.000100,11
0.002108,0.012367,0.002108,0.001946,0.000000,0.046691,0.004049,0.000100,12
0.002102,0.012266,0.002102,0.001952,0.000000,0.046688,0.004049,0.000100,13
0.002098,0.012242,0.002098,0.001956,0.000000,0.046700,0.004049,0.000100,14
0.002093,0.012168,0.002093,0.001960,0.000000,0.046691,0.004049,0.000100,15
0.002089,0.012154,0.002089,0.001964,0.000000,0.046720,0.004049,0.000100,16
0.002086,0.012123,0.002086,0.001967,0.000000,0.046715,0.004049,0.000100,17
0.002082,0.012078,0.002082,0.001971,0.000000,0.046710,0.004049,0.000100,18
0.002079,0.012056,0.002079,0.001974,0.000000,0.046697,0.004049,0.000100,19
0.002076,0.012016,0.002076,0.001977,0.000000,0.046669,0.004049,0.000100,20
0.002072,0.012015,0.002072,0.001980,0.000000,0.046714,0.004049,0.000100,21
0.002070,0.011967,0.002070,0.001984,0.000000,0.046697,0.004049,0.000100,22
0.002065,0.011924,0.002065,0.001987,0.000000,0.046714,0.004049,0.000100,23
0.002063,0.011923,0.002063,0.001990,0.000000,0.046704,0.004049,0.000100,24
