loss,res_pc,diff_pc,diff_ps,res_cc,res_sc,epsilon,lr,epoch
0.003791,0.037304,0.003791,0.000387,0.000000,0.046704,0.004049,0.000100,1
0.003193,0.025207,0.003193,0.000855,0.000000,0.046704,0.004049,0.000100,2
0.002883,0.021135,0.002883,0.001157,0.000000,0.046672,0.004049,0.000100,3
0.002596,0.017863,0.002596,0.001445,0.000000,0.046733,0.004049,0.000100,4
0.002358,0.015450,0.002358,0.001685,0.000000,0.046710,0.004049,0.000100,5
0.002303,0.014730,0.002303,0.001744,0.000000,0.046685,0.004049,0.000100,6
0.002268,0.014290,0.002268,0.001780,0.000000,0.046694,0.004049,0.000100,7
0.002241,0.013943,0.002241,0.001807,0.000000,0.046698,0.004049,0.000100,8
0.002219,0.013749,0.002219,0.001829,0.000000,0.046693,0.004049,0.000100,9
0.002198,0.013495,0.002198,0.001851,0.000000,0.046721,0.004049,0.000100,10
0.002178,0.013292,0.002178,0.001872,0.000000,0.046702,0.004049,0.000100,11
0.002163,0.013130,0.002163,0.001887,0.000000,0.046711,0.004049,0.000100,12
0.002148,0.012959,0.002148,0.001901,0.000000,0.046703,0.004049,0.000100,13
0.002134,0.012830,0.002134,0.001915,0.000000,0.046693,0.004049,0.000100,14
0.002121,0.012759,0.002121,0.001927,0.000000,0.046718,0.004049,0.000100,15
0.002108,0.012682,0.002108,0.001941,0.000000,0.046695,0.004049,0.000100,16
0.002093,0.012624,0.002093,0.001955,0.000000,0.046744,0.004049,0.000100,17
0.002071,0.012562,0.002071,0.001976,0.000000,0.046673,0.004049,0.000100,18
0.002042,0.012544,0.002042,0.002003,0.000000,0.046689,0.004049,0.000100,19
0.002013,0.012508,0.002013,0.002032,0.000000,0.046718,0.004049,0.000100,20
0.001982,0.012425,0.001982,0.002062,0.000000,0.046670,0.004049,0.000100,21
0.001948,0.012454,0.001948,0.002093,0.000000,0.046711,0.004049,0.000100,22
0.001899,0.012404,0.001899,0.002141,0.000000,0.046664,0.004049,0.000100,23
0.001866,0.012410,0.001866,0.002175,0.000000,0.046676,0.004049,0.000100,24
0.001833,0.012372,0.001833,0.002207,0.000000,0.046713,0.004049,0.000100,25
0.001802,0.012342,0.001802,0.002238,0.000000,0.046713,0.004049,0.000100,26
0.001772,0.012294,0.001772,0.002267,0.000000,0.046697,0.004049,0.000100,27
0.001742,0.012278,0.001742,0.002298,0.000000,0.046717,0.004049,0.000100,28
0.001718,0.012238,0.001718,0.002322,0.000000,0.046693,0.004049,0.000100,29
0.001697,0.012208,0.001697,0.002344,0.000000,0.046700,0.004049,0.000100,30
0.001677,0.012140,0.001677,0.002364,0.000000,0.046674,0.004049,0.000100,31
0.001661,0.012138,0.001661,0.002381,0.000000,0.046687,0.004049,0.000100,32
0.001645,0.012108,0.001645,0.002398,0.000000,0.046685,0.004049,0.000100,33
0.001630,0.012070,0.001630,0.002412,0.000000,0.046699,0.004049,0.000100,34
0.001618,0.012056,0.001618,0.002424,0.000000,0.046704,0.004049,0.000100,35
0.001604,0.012010,0.001604,0.002440,0.000000,0.046708,0.004049,0.000100,36
0.001596,0.012015,0.001596,0.002447,0.000000,0.046680,0.004049,0.000100,37
0.001582,0.011999,0.001582,0.002460,0.000000,0.046685,0.004049,0.000100,38
0.001574,0.011962,0.001574,0.002469,0.000000,0.046703,0.004049,0.000100,39
0.001564,0.011952,0.001564,0.002479,0.000000,0.046697,0.004049,0.000100,40
0.001558,0.011944,0.001558,0.002486,0.000000,0.046686,0.004049,0.000100,41
0.001549,0.011934,0.001549,0.002495,0.000000,0.046694,0.004049,0.000100,42
0.001542,0.011883,0.001542,0.002501,0.000000,0.046701,0.004049,0.000100,43
0.001531,0.011854,0.001531,0.002512,0.000000,0.046690,0.004049,0.000100,44
0.001527,0.011855,0.001527,0.002517,0.000000,0.046708,0.004049,0.000100,45
0.001519,0.011821,0.001519,0.002525,0.000000,0.046691,0.004049,0.000100,46
0.001516,0.011816,0.001516,0.002527,0.000000,0.046688,0.004049,0.000100,47
0.001511,0.011793,0.001511,0.002534,0.000000,0.046698,0.004049,0.000100,48
0.001507,0.011804,0.001507,0.002538,0.000000,0.046714,0.004049,0.000100,49
0.001499,0.011772,0.001499,0.002545,0.000000,0.046693,0.004049,0.000100,50
0.001493,0.011746,0.001493,0.002552,0.000000,0.046703,0.004049,0.000095,51
0.001489,0.011745,0.001489,0.002555,0.000000,0.046695,0.004049,0.000095,52
0.001485,0.011712,0.001485,0.002560,0.000000,0.046705,0.004049,0.000095,53
0.001481,0.011704,0.001481,0.002564,0.000000,0.046675,0.004049,0.000095,54
0.001475,0.011701,0.001475,0.002571,0.000000,0.046704,0.004050,0.000095,55
0.001474,0.011686,0.001474,0.002571,0.000000,0.046697,0.004049,0.000095,56
0.001469,0.011691,0.001469,0.002577,0.000000,0.046692,0.004049,0.000095,57
0.001467,0.011661,0.001467,0.002578,0.000000,0.046718,0.004049,0.000095,58
0.001461,0.011642,0.001461,0.002585,0.000000,0.046707,0.004049,0.000095,59
0.001456,0.011639,0.001456,0.002589,0.000000,0.046687,0.004049,0.000095,60
0.001455,0.011615,0.001455,0.002591,0.000000,0.046702,0.004049,0.000095,61
0.001449,0.011611,0.001449,0.002596,0.000000,0.046711,0.004049,0.000095,62
0.001448,0.011581,0.001448,0.002597,0.000000,0.046669,0.004049,0.000095,63
0.001445,0.011590,0.001445,0.002601,0.000000,0.046699,0.004049,0.000095,64
0.001441,0.011588,0.001441,0.002605,0.000000,0.046701,0.004049,0.000095,65
0.001439,0.011552,0.001439,0.002607,0.000000,0.046683,0.004049,0.000095,66
0.001434,0.011576,0.001434,0.002613,0.000000,0.046706,0.004049,0.000095,67
0.001433,0.011573,0.001433,0.002613,0.000000,0.046699,0.004049,0.000095,68
0.001431,0.011571,0.001431,0.002615,0.000000,0.046711,0.004049,0.000095,69
0.001428,0.011560,0.001428,0.002619,0.000000,0.046720,0.004049,0.000095,70
0.001421,0.011509,0.001421,0.002625,0.000000,0.046692,0.004050,0.000090,71
0.001419,0.011511,0.001419,0.002627,0.000000,0.046691,0.004049,0.000090,72
0.001418,0.011490,0.001418,0.002628,0.000000,0.046672,0.004049,0.000090,73
0.001413,0.011511,0.001413,0.002634,0.000000,0.046700,0.004049,0.000090,74
0.001411,0.011487,0.001411,0.002635,0.000000,0.046676,0.004049,0.000090,75
0.001409,0.011474,0.001409,0.002638,0.000000,0.046704,0.004049,0.000090,76
0.001406,0.011450,0.001406,0.002642,0.000000,0.046685,0.004049,0.000090,77
0.001405,0.011452,0.001405,0.002641,0.000000,0.046712,0.004049,0.000090,78
0.001401,0.011454,0.001401,0.002644,0.000000,0.046686,0.004049,0.000090,79
0.001399,0.011438,0.001399,0.002647,0.000000,0.046686,0.004049,0.000090,80
0.001398,0.011429,0.001398,0.002649,0.000000,0.046722,0.004049,0.000090,81
0.001396,0.011450,0.001396,0.002651,0.000000,0.046660,0.004049,0.000090,82
0.001395,0.011425,0.001395,0.002651,0.000000,0.046684,0.004049,0.000090,83
0.001392,0.011399,0.001392,0.002656,0.000000,0.046698,0.004049,0.000090,84
0.001389,0.011396,0.001389,0.002657,0.000000,0.046733,0.004049,0.000090,85
0.001387,0.011413,0.001387,0.002660,0.000000,0.046718,0.004049,0.000090,86
0.001384,0.011405,0.001384,0.002662,0.000000,0.046698,0.004049,0.000090,87
0.001383,0.011381,0.001383,0.002664,0.000000,0.046707,0.004049,0.000090,88
0.001382,0.011360,0.001382,0.002665,0.000000,0.046685,0.004049,0.000090,89
0.001379,0.011383,0.001379,0.002668,0.000000,0.046707,0.004049,0.000090,90
0.001377,0.011348,0.001377,0.002670,0.000000,0.046711,0.004049,0.000086,91
0.001375,0.011360,0.001375,0.002672,0.000000,0.046738,0.004050,0.000086,92
0.001372,0.011370,0.001372,0.002674,0.000000,0.046689,0.004049,0.000086,93
0.001371,0.011330,0.001371,0.002676,0.000000,0.046688,0.004049,0.000086,94
0.001370,0.011345,0.001370,0.002677,0.000000,0.046722,0.004049,0.000086,95
0.001366,0.011301,0.001366,0.002681,0.000000,0.046675,0.004049,0.000086,96
0.001364,0.011298,0.001364,0.002682,0.000000,0.046708,0.004049,0.000086,97
0.001366,0.011354,0.001366,0.002681,0.000000,0.046713,0.004049,0.000086,98
0.001360,0.011299,0.001360,0.002686,0.000000,0.046721,0.004049,0.000086,99
0.001361,0.011280,0.001361,0.002685,0.000000,0.046713,0.004049,0.000086,100
0.001358,0.011301,0.001358,0.002688,0.000000,0.046716,0.004049,0.000086,101
