loss,res_pc,diff_pc,diff_ps,res_cc,res_sc,epsilon,lr,epoch
0.003551,0.035503,0.003551,0.000539,0.000000,0.046676,0.004049,0.000100,1
0.002851,0.019704,0.002851,0.001196,0.000000,0.046734,0.004049,0.000100,2
0.002599,0.017251,0.002599,0.001446,0.000000,0.046717,0.004049,0.000100,3
0.002350,0.015057,0.002350,0.001695,0.000000,0.046701,0.004049,0.000100,4
0.002264,0.014124,0.002264,0.001784,0.000000,0.046673,0.004049,0.000100,5
0.002220,0.013642,0.002220,0.001829,0.000000,0.046680,0.004049,0.000100,6
0.002176,0.013191,0.002176,0.001875,0.000000,0.046699,0.004049,0.000100,7
0.002149,0.012879,0.002149,0.001902,0.000000,0.046711,0.004049,0.000100,8
0.002136,0.012709,0.002136,0.001917,0.000000,0.046710,0.004049,0.000100,9
0.002126,0.012589,0.002126,0.001925,0.000000,0.046682,0.004049,0.000100,10
0.002119,0.012542,0.002119,0.001932,0.000000,0.046679,0.004049,0.000100,11
0.002112,0.012494,0.002112,0.001939,0.000000,0.046703,0.004049,0.000100,12
0.002101,0.012463,0.002101,0.001948,0.000000,0.046701,0.004049,0.000100,13
0.002082,0.012434,0.002082,0.001967,0.000000,0.046690,0.004049,0.000100,14
0.002058,0.012385,0.002058,0.001990,0.000000,0.046680,0.004049,0.000100,15
0.002038,0.012347,0.002038,0.002011,0.000000,0.046689,0.004049,0.000100,16
0.002010,0.012303,0.002010,0.002037,0.000000,0.046686,0.004049,0.000100,17
0.001986,0.012264,0.001986,0.002061,0.000000,0.046668,0.004049,0.000100,18
0.001963,0.012231,0.001963,0.002084,0.000000,0.046699,0.004049,0.000100,19
0.001936,0.012262,0.001936,0.002110,0.000000,0.046711,0.004049,0.000100,20
0.001900,0.012206,0.001900,0.002143,0.000000,0.046703,0.004049,0.000100,21
0.001863,0.012149,0.001863,0.002182,0.000000,0.046701,0.004049,0.000100,22
0.001834,0.012138,0.001834,0.002209,0.000000,0.046710,0.004049,0.000100,23
0.001802,0.012158,0.001802,0.002239,0.000000,0.046709,0.004049,0.000100,24
0.001759,0.012163,0.001759,0.002280,0.000000,0.046685,0.004049,0.000100,25
0.001711,0.012111,0.001711,0.002330,0.000000,0.046694,0.004049,0.000100,26
0.001677,0.012069,0.001677,0.002365,0.000000,0.046722,0.004050,0.000100,27
0.001649,0.012066,0.001649,0.002394,0.000000,0.046709,0.004049,0.000100,28
0.001629,0.012012,0.001629,0.002414,0.000000,0.046698,0.004049,0.000100,29
0.001604,0.011976,0.001604,0.002439,0.000000,0.046708,0.004049,0.000100,30
0.001588,0.011944,0.001588,0.002456,0.000000,0.046707,0.004050,0.000100,31
0.001568,0.011932,0.001568,0.002475,0.000000,0.046695,0.004049,0.000100,32
0.001549,0.011879,0.001549,0.002494,0.000000,0.046701,0.004049,0.000100,33
0.001535,0.011873,0.001535,0.002509,0.000000,0.046698,0.004049,0.000100,34
0.001518,0.011815,0.001518,0.002526,0.000000,0.046731,0.004049,0.000100,35
0.001508,0.011804,0.001508,0.002537,0.000000,0.046699,0.004049,0.000100,36
0.001493,0.011747,0.001493,0.002550,0.000000,0.046687,0.004049,0.000100,37
0.001488,0.011746,0.001488,0.002557,0.000000,0.046718,0.004049,0.000100,38
0.001479,0.011718,0.001479,0.002567,0.000000,0.046694,0.004049,0.000100,39
0.001469,0.011684,0.001469,0.002577,0.000000,0.046691,0.004049,0.000100,40
0.001460,0.011673,0.001460,0.002586,0.000000,0.046733,0.004049,0.000100,41
0.001454,0.011650,0.001454,0.002592,0.000000,0.046696,0.004049,0.000100,42
0.001451,0.011610,0.001451,0.002596,0.000000,0.046698,0.004049,0.000100,43
0.001440,0.011583,0.001440,0.002607,0.000000,0.046684,0.004049,0.000100,44
0.001434,0.011592,0.001434,0.002613,0.000000,0.046698,0.004049,0.000100,45
