loss,res_pc,diff_pc,diff_ps,res_cc,res_sc,epsilon,lr,epoch
0.002346,0.016105,0.002346,0.001709,0.000000,0.046724,0.004049,0.000100,1
0.001973,0.013162,0.001973,0.002065,0.000000,0.046707,0.004049,0.000100,2
0.001683,0.012598,0.001683,0.002354,0.000000,0.046712,0.004049,0.000100,3
0.001588,0.012314,0.001588,0.002459,0.000000,0.046722,0.004049,0.000100,4
0.001534,0.012169,0.001534,0.002517,0.000000,0.046714,0.004049,0.000100,5
0.001503,0.012025,0.001503,0.002551,0.000000,0.046720,0.004049,0.000100,6
0.001476,0.011936,0.001476,0.002578,0.000000,0.046700,0.004049,0.000100,7
0.001455,0.011858,0.001455,0.002601,0.000000,0.046709,0.004049,0.000100,8
0.001435,0.011805,0.001435,0.002620,0.000000,0.046677,0.004049,0.000100,9
0.001426,0.011760,0.001426,0.002632,0.000000,0.046713,0.004049,0.000100,10
0.001406,0.011711,0.001406,0.002651,0.000000,0.046713,0.004049,0.000100,11
0.001392,0.011656,0.001392,0.002667,0.000000,0.046708,0.004049,0.000100,12
0.001383,0.011627,0.001383,0.002676,0.000000,0.046685,0.004049,0.000100,13
0.001372,0.011596,0.001372,0.002688,0.000000,0.046691,0.004049,0.000100,14
0.001363,0.011573,0.001363,0.002697,0.000000,0.046706,0.004049,0.000100,15
0.001354,0.011522,0.001354,0.002706,0.000000,0.046715,0.004049,0.000100,16
0.001346,0.011502,0.001346,0.002713,0.000000,0.046678,0.004049,0.000100,17
0.001340,0.011471,0.001340,0.002720,0.000000,0.046701,0.004049,0.000100,18
0.001333,0.011438,0.001333,0.002727,0.000000,0.046717,0.004049,0.000100,19
0.001327,0.011401,0.001327,0.002733,0.000000,0.046683,0.004049,0.000100,20
0.001321,0.011390,0.001321,0.002739,0.000000,0.046711,0.004049,0.000100,21
0.001316,0.011366,0.001316,0.002744,0.000000,0.046709,0.004049,0.000100,22
0.001309,0.011335,0.001309,0.002752,0.000000,0.046698,0.004049,0.000100,23
0.001303,0.011337,0.001303,0.002757,0.000000,0.046704,0.004049,0.000100,24
0.001301,0.011333,0.001301,0.002759,0.000000,0.046716,0.004049,0.000100,25
0.001296,0.011300,0.001296,0.002764,0.000000,0.046728,0.004049,0.000100,26
0.001289,0.011264,0.001289,0.002771,0.000000,0.046714,0.004049,0.000100,27
0.001287,0.011265,0.001287,0.002774,0.000000,0.046706,0.004049,0.000100,28
0.001279,0.011211,0.001279,0.002781,0.000000,0.046726,0.004049,0.000100,29
0.001277,0.011232,0.001277,0.002784,0.000000,0.046716,0.004049,0.000100,30
0.001271,0.011185,0.001271,0.002789,0.000000,0.046674,0.004049,0.000100,31
0.001267,0.011171,0.001267,0.002793,0.000000,0.046684,0.004049,0.000100,32
0.001264,0.011152,0.001264,0.002796,0.000000,0.046715,0.004049,0.000100,33
0.001261,0.011160,0.001261,0.002800,0.000000,0.046704,0.004049,0.000100,34
0.001256,0.011131,0.001256,0.002805,0.000000,0.046722,0.004049,0.000100,35
0.001252,0.011109,0.001252,0.002808,0.000000,0.046704,0.004049,0.000100,36
0.001248,0.011099,0.001248,0.002812,0.000000,0.046694,0.004049,0.000100,37
0.001246,0.011089,0.001246,0.002815,0.000000,0.046714,0.004049,0.000100,38
0.001245,0.011102,0.001245,0.002816,0.000000,0.046711,0.004049,0.000100,39
0.001239,0.011046,0.001239,0.002822,0.000000,0.046699,0.004049,0.000100,40
0.001238,0.011060,0.001238,0.002823,0.000000,0.046705,0.004049,0.000100,41
0.001235,0.011040,0.001235,0.002826,0.000000,0.046716,0.004049,0.000100,42
0.001231,0.011021,0.001231,0.002829,0.000000,0.046697,0.004049,0.000100,43
0.001227,0.010987,0.001227,0.002834,0.000000,0.046691,0.004049,0.000100,44
0.001225,0.010984,0.001225,0.002835,0.000000,0.046707,0.004049,0.000100,45
0.001221,0.010975,0.001221,0.002839,0.000000,0.046703,0.004049,0.000100,46
0.001220,0.010962,0.001220,0.002840,0.000000,0.046711,0.004049,0.000100,47
0.001216,0.010946,0.001216,0.002843,0.000000,0.046717,0.004049,0.000100,48
0.001215,0.010939,0.001215,0.002846,0.000000,0.046692,0.004049,0.000100,49
0.001214,0.010928,0.001214,0.002847,0.000000,0.046716,0.004049,0.000100,50
0.001207,0.010896,0.001207,0.002853,0.000000,0.046687,0.004049,0.000095,51
0.001203,0.010848,0.001203,0.002855,0.000000,0.046711,0.004049,0.000095,52
0.001200,0.010853,0.001200,0.002860,0.000000,0.046731,0.004049,0.000095,53
