loss,res_pc,diff_pc,diff_ps,res_cc,res_sc,epsilon,lr,epoch
0.002571,0.019977,0.002571,0.001521,0.000000,0.046696,0.004049,0.000100,1
0.002268,0.014681,0.002268,0.001802,0.000000,0.046712,0.004049,0.000100,2
0.002114,0.013354,0.002114,0.001941,0.000000,0.046715,0.004049,0.000100,3
0.001965,0.012757,0.001965,0.002086,0.000000,0.046704,0.004049,0.000100,4
0.001866,0.012490,0.001866,0.002183,0.000000,0.046702,0.004049,0.000100,5
0.001788,0.012318,0.001788,0.002262,0.000000,0.046690,0.004049,0.000100,6
0.001728,0.012195,0.001728,0.002324,0.000000,0.046700,0.004049,0.000100,7
0.001678,0.012081,0.001678,0.002374,0.000000,0.046705,0.004049,0.000100,8
0.001638,0.011977,0.001638,0.002416,0.000000,0.046706,0.004049,0.000100,9
0.001605,0.011891,0.001605,0.002453,0.000000,0.046719,0.004049,0.000100,10
0.001580,0.011832,0.001580,0.002477,0.000000,0.046707,0.004049,0.000100,11
0.001555,0.011753,0.001555,0.002504,0.000000,0.046726,0.004049,0.000100,12
0.001536,0.011752,0.001536,0.002524,0.000000,0.046697,0.004049,0.000100,13
0.001517,0.011673,0.001517,0.002541,0.000000,0.046717,0.004049,0.000100,14
0.001499,0.011637,0.001499,0.002559,0.000000,0.046690,0.004049,0.000100,15
0.001487,0.011611,0.001487,0.002574,0.000000,0.046718,0.004049,0.000100,16
0.001473,0.011562,0.001473,0.002588,0.000000,0.046691,0.004049,0.000100,17
0.001460,0.011524,0.001460,0.002600,0.000000,0.046691,0.004049,0.000100,18
0.001450,0.011507,0.001450,0.002611,0.000000,0.046696,0.004049,0.000100,19
0.001442,0.011497,0.001442,0.002619,0.000000,0.046733,0.004050,0.000100,20
0.001435,0.011488,0.001435,0.002627,0.000000,0.046694,0.004049,0.000100,21
0.001425,0.011466,0.001425,0.002636,0.000000,0.046709,0.004049,0.000100,22
0.001417,0.011433,0.001417,0.002645,0.000000,0.046690,0.004049,0.000100,23
0.001409,0.011420,0.001409,0.002653,0.000000,0.046712,0.004049,0.000100,24
0.001402,0.011386,0.001402,0.002659,0.000000,0.046717,0.004049,0.000100,25
0.001396,0.011369,0.001396,0.002665,0.000000,0.046679,0.004049,0.000100,26
0.001389,0.011355,0.001389,0.002671,0.000000,0.046693,0.004049,0.000100,27
0.001382,0.011329,0.001382,0.002679,0.000000,0.046706,0.004049,0.000100,28
0.001382,0.011341,0.001382,0.002680,0.000000,0.046708,0.004049,0.000100,29
0.001370,0.011297,0.001370,0.002690,0.000000,0.046683,0.004049,0.000100,30
0.001366,0.011296,0.001366,0.002695,0.000000,0.046721,0.004049,0.000100,31
0.001361,0.011286,0.001361,0.002700,0.000000,0.046703,0.004049,0.000100,32
0.001357,0.011265,0.001357,0.002704,0.000000,0.046718,0.004049,0.000100,33
0.001351,0.011257,0.001351,0.002710,0.000000,0.046679,0.004049,0.000100,34
0.001345,0.011224,0.001345,0.002716,0.000000,0.046717,0.004049,0.000100,35
0.001338,0.011219,0.001338,0.002723,0.000000,0.046731,0.004049,0.000100,36
0.001332,0.011222,0.001332,0.002729,0.000000,0.046719,0.004049,0.000100,37
0.001330,0.011193,0.001330,0.002731,0.000000,0.046681,0.004049,0.000100,38
0.001325,0.011203,0.001325,0.002736,0.000000,0.046693,0.004049,0.000100,39
0.001319,0.011157,0.001319,0.002742,0.000000,0.046683,0.004049,0.000100,40
0.001315,0.011157,0.001315,0.002747,0.000000,0.046706,0.004049,0.000100,41
0.001310,0.011117,0.001310,0.002751,0.000000,0.046696,0.004049,0.000100,42
0.001305,0.011108,0.001305,0.002755,0.000000,0.046713,0.004049,0.000100,43
0.001302,0.011123,0.001302,0.002759,0.000000,0.046708,0.004049,0.000100,44
0.001299,0.011123,0.001299,0.002762,0.000000,0.046720,0.004049,0.000100,45
0.001294,0.011097,0.001294,0.002767,0.000000,0.046699,0.004049,0.000100,46
0.001293,0.011100,0.001293,0.002768,0.000000,0.046712,0.004049,0.000100,47
0.001288,0.011079,0.001288,0.002773,0.000000,0.046677,0.004049,0.000100,48
0.001284,0.011054,0.001284,0.002777,0.000000,0.046685,0.004049,0.000100,49
0.001283,0.011043,0.001283,0.002778,0.000000,0.046689,0.004049,0.000100,50
0.001273,0.011031,0.001273,0.002786,0.000000,0.046706,0.004049,0.000095,51
0.001270,0.011025,0.001270,0.002790,0.000000,0.046710,0.004049,0.000095,52
0.001268,0.011008,0.001268,0.002792,0.000000,0.046694,0.004049,0.000095,53
0.001267,0.011018,0.001267,0.002794,0.000000,0.046713,0.004049,0.000095,54
0.001260,0.011000,0.001260,0.002799,0.000000,0.046698,0.004049,0.000095,55
0.001262,0.011001,0.001262,0.002798,0.000000,0.046708,0.004049,0.000095,56
0.001257,0.010979,0.001257,0.002804,0.000000,0.046699,0.004049,0.000095,57
0.001255,0.010979,0.001255,0.002804,0.000000,0.046716,0.004049,0.000095,58
0.001249,0.010970,0.001249,0.002811,0.000000,0.046712,0.004049,0.000095,59
0.001246,0.010926,0.001246,0.002813,0.000000,0.046703,0.004049,0.000095,60
0.001246,0.010909,0.001246,0.002814,0.000000,0.046706,0.004049,0.000095,61
0.001245,0.010923,0.001245,0.002814,0.000000,0.046715,0.004049,0.000095,62
0.001241,0.010909,0.001241,0.002818,0.000000,0.046718,0.004049,0.000095,63
0.001238,0.010919,0.001238,0.002822,0.000000,0.046701,0.004049,0.000095,64
0.001235,0.010900,0.001235,0.002824,0.000000,0.046705,0.004049,0.000095,65
